challenge_ID,programming_language,challenge_series_ID,total_submissions,publish_date,author_ID,author_gender,author_org_ID,category_id
CI24454,1,SI2515,68,06-11-2006,AI564290,M,,56
CI24455,1,SI2519,463,05-11-2006,AI564277,M,AOI100418,39
CI24456,1,SI2515,73,06-11-2006,AI564291,M,AOI100429,76
CI24457,1,SI2515,76,06-11-2006,AI564292,M,AOI100408,80
CI24458,1,SI2499,184,06-11-2006,AI564217,M,AOI100080,39
CI24459,1,SI2519,763,05-11-2006,AI564293,M,AOI100184,54
CI24460,1,SI2499,150,05-11-2006,AI563576,M,AOI100001,39
CI24461,1,SI2519,1940,05-11-2006,AI564294,M,AOI100417,54
CI24462,1,SI2515,229,06-11-2006,AI564295,M,AOI100430,54
CI24463,1,SI2515,86,06-11-2006,AI564296,F,AOI100431,54
CI24464,1,SI2514,318,07-11-2006,AI564297,M,AOI100390,56
CI24465,1,SI2517,136,07-11-2006,AI564298,M,AOI100432,39
CI24466,1,SI2514,98,07-11-2006,AI564299,M,AOI100389,
CI24467,1,SI2514,122,07-11-2006,AI564300,M,AOI100192,62
CI24468,1,SI2517,289,08-11-2006,AI564276,M,AOI100025,39
CI24469,1,SI2514,210,07-11-2006,AI564301,M,AOI100093,56
CI24470,1,SI2514,486,09-11-2006,AI564302,M,AOI100312,80
CI24471,1,SI2514,128,09-11-2006,AI564303,F,AOI100096,47
CI24472,1,SI2514,73,09-11-2006,AI564304,M,AOI100433,54
CI24473,1,SI2514,135,07-11-2006,AI564305,M,AOI100434,54
CI24474,1,SI2514,246,09-11-2006,AI564306,M,AOI100378,39
CI24475,1,SI2514,127,07-11-2006,AI564307,M,AOI100435,54
CI24476,1,SI2514,61,07-11-2006,AI564308,M,AOI100436,
CI24477,1,SI2515,193,06-11-2006,AI564309,M,AOI100174,60
CI24478,1,SI2515,65,06-11-2006,AI564310,M,AOI100437,60
CI24479,1,SI2515,47,06-11-2006,AI564311,M,AOI100222,80
CI24480,1,SI2514,120,09-11-2006,AI564312,M,AOI100250,56
CI24481,1,SI2514,252,07-11-2006,AI564313,F,AOI100067,54
CI24482,1,SI2514,34,09-11-2006,AI564264,F,AOI100376,
CI24483,1,SI2514,191,09-11-2006,AI564314,F,AOI100390,81
CI24484,1,SI2514,227,09-11-2006,AI564315,M,AOI100114,39
CI24485,1,SI2514,36,09-11-2006,AI564257,M,AOI100408,
CI24486,1,SI2514,121,09-11-2006,AI564316,M,AOI100438,54
CI24487,1,SI2514,170,07-11-2006,AI564317,M,AOI100432,39
CI24488,1,SI2514,93,07-11-2006,AI564318,M,AOI100439,54
CI24489,1,SI2515,130,06-11-2006,AI564319,M,AOI100309,56
CI24490,1,SI2499,119,06-11-2006,AI564320,M,AOI100386,86
CI24491,1,SI2499,3394,06-11-2006,AI563576,M,AOI100001,86
CI24492,1,SI2499,113,06-11-2006,AI564321,M,AOI100440,86
CI24493,1,SI2499,432,06-11-2006,AI564275,M,AOI100013,86
CI24494,1,SI2515,40,06-11-2006,AI564208,M,AOI100378,80
CI24495,1,SI2515,68,06-11-2006,AI564322,M,AOI100441,76
CI24496,1,SI2517,108,09-11-2006,AI564323,M,AOI100436,
CI24497,1,SI2517,53,09-11-2006,AI564324,M,AOI100173,39
CI24498,1,SI2517,79,08-11-2006,AI564325,M,AOI100120,39
CI24499,1,SI2517,53,09-11-2006,AI564326,M,AOI100442,54
CI24500,1,SI2519,126,05-11-2006,AI564327,M,AOI100011,39
CI24501,1,SI2516,79,09-11-2006,AI564328,M,AOI100424,39
CI24502,1,SI2516,239,09-11-2006,AI564282,M,AOI100423,39
CI24503,1,SI2516,220,09-11-2006,AI564329,M,AOI100443,39
CI24504,1,SI2516,255,08-11-2006,AI564330,F,AOI100150,56
CI24505,1,SI2516,177,08-11-2006,AI564331,M,AOI100444,32
CI24506,1,SI2516,163,08-11-2006,AI564332,M,AOI100445,54
CI24507,1,SI2516,363,07-11-2006,AI564284,M,AOI100229,23
CI24508,1,SI2516,106,07-11-2006,AI564333,M,AOI100079,39
CI24509,1,SI2514,98,07-11-2006,AI564334,M,AOI100228,54
CI24510,1,SI2514,57,07-11-2006,AI564335,M,AOI100408,54
CI24511,1,SI2499,361,06-11-2006,AI563576,M,AOI100001,86
CI24512,1,SI2499,323,06-11-2006,AI563576,M,AOI100001,86
CI24513,1,SI2500,68,06-10-2006,AI564336,M,AOI100446,86
CI24514,1,SI2500,31,05-10-2006,AI564337,M,AOI100447,
CI24515,1,SI2500,74,06-10-2006,AI564338,M,AOI100448,
CI24516,1,SI2500,158,05-10-2006,AI564339,M,AOI100449,
CI24517,1,SI2500,64,05-10-2006,AI564340,M,AOI100348,
CI24518,1,SI2500,42,06-10-2006,AI564341,M,AOI100450,86
CI24519,1,SI2500,37,05-10-2006,AI564342,M,,
CI24520,1,SI2500,143,06-10-2006,AI564343,F,AOI100451,
CI24521,1,SI2501,591,26-09-2006,AI564344,M,AOI100174,86
CI24522,1,SI2501,3702,26-09-2006,AI564275,M,AOI100013,86
CI24523,1,SI2501,538,26-09-2006,AI564345,M,AOI100173,49
CI24524,1,SI2501,1429,27-09-2006,AI564346,M,AOI100022,52
CI24525,1,SI2501,4728,26-09-2006,AI564275,M,AOI100013,86
CI24526,1,SI2501,181,26-09-2006,AI564347,M,AOI100063,32
CI24527,1,SI2501,6726,26-09-2006,AI564348,F,AOI100032,46
CI24528,1,SI2501,436,26-09-2006,AI564345,M,AOI100173,61
CI24529,1,SI2501,121,26-09-2006,AI564347,M,AOI100063,86
CI24530,1,SI2501,6814,26-09-2006,AI563815,M,AOI100173,29
CI24531,1,SI2501,1528,26-09-2006,AI564345,M,AOI100173,49
CI24532,1,SI2501,2719,26-09-2006,AI564344,M,AOI100174,62
CI24533,1,SI2501,1063,26-09-2006,AI564345,M,AOI100173,86
CI24534,1,SI2501,4233,26-09-2006,AI564349,M,AOI100063,49
CI24535,1,SI2501,636,26-09-2006,AI564275,M,AOI100013,86
CI24536,2,SI2502,60,01-12-2006,AI564350,M,AOI100452,162
CI24537,2,SI2502,134,01-12-2006,AI564351,M,AOI100453,162
CI24538,2,SI2502,241,01-12-2006,AI564352,F,AOI100454,162
CI24539,2,SI2502,240,01-12-2006,AI564353,M,AOI100455,162
CI24540,2,SI2502,173,01-12-2006,AI564354,M,AOI100452,162
CI24541,2,SI2502,63,01-12-2006,AI564355,M,AOI100456,162
CI24542,2,SI2502,116,30-11-2006,AI564356,M,AOI100457,162
CI24543,2,SI2502,28,01-12-2006,AI564357,M,AOI100458,162
CI24544,2,SI2502,289,30-11-2006,AI564358,M,AOI100454,162
CI24545,2,SI2502,61,30-11-2006,AI564359,M,AOI100459,162
CI24546,2,SI2502,41,30-11-2006,AI564357,M,AOI100458,162
CI24547,2,SI2502,89,30-11-2006,AI564360,M,AOI100460,162
CI24548,2,SI2502,149,30-11-2006,AI564361,M,AOI100461,162
CI24549,2,SI2502,104,30-11-2006,AI564362,M,AOI100462,162
CI24550,2,SI2502,354,30-11-2006,AI564363,M,AOI100463,162
CI24551,2,SI2502,107,30-11-2006,AI564364,F,AOI100454,162
CI24552,2,SI2502,402,30-11-2006,AI564365,M,AOI100464,162
CI24553,2,SI2502,259,30-11-2006,AI564366,F,AOI100465,162
CI24554,2,SI2502,128,30-11-2006,AI564367,M,AOI100466,162
CI24555,2,SI2502,174,01-12-2006,AI564368,M,AOI100467,162
CI24556,2,SI2502,83,01-12-2006,AI564369,F,AOI100468,162
CI24557,2,SI2502,183,01-12-2006,AI564370,M,AOI100469,162
CI24558,2,SI2502,314,01-12-2006,AI564371,F,AOI100460,162
CI24559,2,SI2502,118,01-12-2006,AI564372,F,AOI100470,162
CI24560,2,SI2502,92,01-12-2006,AI564373,M,AOI100471,162
CI24561,2,SI2502,127,01-12-2006,AI564368,M,AOI100467,162
CI24562,2,SI2502,294,01-12-2006,AI564374,M,AOI100454,162
CI24563,2,SI2502,49,30-11-2006,AI564375,M,AOI100456,162
CI24564,2,SI2502,193,30-11-2006,AI564376,F,AOI100472,162
CI24565,2,SI2502,147,30-11-2006,,,,162
CI24566,2,SI2502,315,30-11-2006,AI564377,M,AOI100473,162
CI24567,2,SI2502,78,30-11-2006,AI564378,M,AOI100460,162
CI24568,2,SI2502,78,30-11-2006,AI564379,M,AOI100474,162
CI24569,2,SI2502,295,30-11-2006,AI564380,M,AOI100475,162
CI24570,2,SI2502,163,30-11-2006,AI564381,M,AOI100476,162
CI24571,2,SI2502,244,30-11-2006,AI564382,M,AOI100477,162
CI24572,2,SI2502,166,30-11-2006,AI564383,F,AOI100030,162
CI24573,1,SI2503,141,26-09-2003,AI564384,M,AOI100478,31
CI24574,1,SI2503,91,24-09-2003,AI564385,M,,58
CI24575,1,SI2503,30,26-09-2003,AI564386,M,AOI100479,29
CI24576,1,SI2503,54,26-09-2003,AI563697,M,AOI100092,30
CI24577,1,SI2503,114,26-09-2003,AI564387,F,AOI100181,29
CI24578,1,SI2503,47,22-09-2003,AI563762,M,AOI100135,41
CI24579,1,SI2503,111,26-09-2003,AI564388,M,AOI100480,29
CI24580,1,SI2503,26,23-09-2003,AI563576,M,AOI100001,29
CI24581,1,SI2503,26,22-09-2003,AI563780,F,AOI100001,29
CI24582,2,SI2506,18,13-05-2004,AI564135,M,AOI100002,
CI24583,1,SI2504,312,19-01-2004,AI564389,M,AOI100481,51
CI24584,1,SI2505,269,06-07-2005,AI564390,M,AOI100057,112
CI24585,1,SI2503,96,26-09-2003,AI564391,F,AOI100204,60
CI24586,1,SI2503,114,23-09-2003,AI564090,M,AOI100267,29
CI24587,1,SI2503,270,24-09-2003,AI564392,M,AOI100482,23
CI24588,1,SI2503,232,26-09-2003,AI564346,M,AOI100022,48
CI24589,1,SI2503,74,24-09-2003,AI564393,M,AOI100483,29
CI24590,1,SI2503,250,24-09-2003,AI564394,M,AOI100312,30
CI24591,1,SI2503,117,25-09-2003,AI564395,F,AOI100192,41
CI24592,1,SI2503,225,25-09-2003,AI564396,M,AOI100153,29
CI24593,1,SI2505,139,06-07-2005,AI564390,M,AOI100057,
CI24594,1,SI2508,15,26-11-2004,AI564215,M,AOI100390,
CI24595,1,SI2508,46,26-11-2004,AI564397,M,AOI100358,112
CI24596,1,SI2508,38,25-11-2004,AI564256,F,AOI100130,39
CI24597,1,SI2508,20,26-11-2004,AI564255,F,AOI100130,39
CI24598,1,SI2508,8,26-11-2004,AI564219,M,AOI100393,
CI24599,1,SI2508,8,26-11-2004,AI564282,M,AOI100423,
CI24600,1,SI2508,74,25-11-2004,AI564398,M,AOI100484,39
CI24601,1,SI2508,19,25-11-2004,AI564399,M,AOI100393,
CI24602,1,SI2508,31,25-11-2004,AI564256,F,AOI100130,39
CI24603,1,SI2510,33,13-05-2004,AI564258,M,AOI100130,39
CI24604,1,SI2510,92,13-05-2004,AI563576,M,AOI100001,53
CI24605,1,SI2508,42,25-11-2004,AI564256,F,AOI100130,39
CI24606,1,SI2508,92,25-11-2004,AI564258,M,AOI100130,39
CI24607,1,SI2508,1055,26-11-2004,AI564215,M,AOI100390,55
CI24608,1,SI2508,92,26-11-2004,AI564400,M,AOI100314,39
CI24609,1,SI2508,30,26-11-2004,AI564401,M,AOI100080,54
CI24610,1,SI2508,166,26-11-2004,AI563576,M,AOI100001,54
CI24611,1,SI2508,7,26-11-2004,AI564219,M,AOI100393,
CI24612,1,SI2509,14,07-07-2005,AI564219,M,AOI100393,
CI24613,1,SI2509,244,30-06-2005,AI564278,M,AOI100419,54
CI24614,1,SI2509,71,30-06-2005,AI564399,M,AOI100393,
CI24615,1,SI2509,53,01-07-2005,AI563576,M,AOI100001,
CI24616,1,SI2509,33,06-07-2005,AI563780,F,AOI100001,
CI24617,1,SI2507,154,06-07-2005,AI564217,M,AOI100080,54
CI24618,1,SI2507,75,21-01-2004,AI564219,M,AOI100393,
CI24619,1,SI2509,97,02-07-2005,AI563576,M,AOI100001,
CI24620,1,SI2507,81,30-06-2005,AI564278,M,AOI100419,54
CI24621,1,SI2507,6596,17-06-2003,AI563680,M,AOI100080,39
CI24622,1,SI2507,336,21-01-2004,AI563576,M,AOI100001,49
CI24623,1,SI2507,45,26-11-2004,AI564401,M,AOI100080,54
CI24624,1,SI2507,52,05-05-2004,AI564258,M,AOI100130,39
CI24625,1,SI2507,134,08-07-2005,AI564402,M,AOI100103,62
CI24626,1,SI2507,53,21-01-2004,AI564258,M,AOI100130,39
CI24627,1,SI2508,7,25-11-2004,AI564399,M,AOI100393,
CI24628,1,SI2507,28,06-07-2005,AI564255,F,AOI100130,60
CI24629,1,SI2507,159,30-06-2005,AI564399,M,AOI100393,39
CI24630,1,SI2507,31,07-07-2005,AI564219,M,AOI100393,
CI24631,1,SI2507,39,27-04-2005,AI564403,M,AOI100485,
CI24632,1,SI2511,19,23-11-2005,AI564404,M,AOI100393,
CI24633,1,SI2511,871,23-11-2005,AI564217,M,AOI100080,39
CI24634,1,SI2512,35,27-04-2005,AI564403,M,AOI100485,
CI24635,1,SI2511,19,23-11-2005,AI564219,M,AOI100393,
CI24636,1,SI2510,16,13-05-2004,AI564210,M,AOI100130,
CI24637,1,SI2510,225,13-05-2004,AI564255,F,AOI100130,62
CI24638,1,SI2510,341,13-05-2004,AI563576,M,AOI100001,49
CI24639,1,SI2510,388,13-05-2004,AI564256,F,AOI100130,62
CI24640,1,SI2508,22,26-11-2004,AI564405,F,AOI100486,
CI24641,1,SI2508,17,25-11-2004,AI564406,M,AOI100487,
CI24642,1,SI2508,18,25-11-2004,AI564258,M,AOI100130,
CI24643,1,SI2508,22,26-11-2004,AI564215,M,AOI100390,
CI24644,1,SI2508,34,25-11-2004,AI564407,M,AOI100488,
CI24645,1,SI2508,35,26-11-2004,AI564408,M,AOI100486,
CI24646,1,SI2508,11,26-11-2004,AI563576,M,AOI100001,
CI24647,1,SI2508,20,25-11-2004,AI564256,F,AOI100130,
CI24648,1,SI2508,18,26-11-2004,AI564217,M,AOI100080,
CI24649,1,SI2508,10,25-11-2004,AI564409,M,AOI100489,
CI24650,1,SI2508,21,26-11-2004,AI564408,M,AOI100486,
CI24651,1,SI2509,431,08-07-2005,AI564402,M,AOI100103,62
CI24652,1,SI2509,26,06-07-2005,AI564210,M,AOI100130,60
CI24653,1,SI2509,69,06-07-2005,AI564255,F,AOI100130,60
CI24654,1,SI2509,115,30-06-2005,AI564410,M,AOI100025,39
CI24655,1,SI2509,155,07-07-2005,AI564217,M,AOI100080,54
CI24656,1,SI2508,18,26-11-2004,AI564219,M,AOI100393,112
CI24657,1,SI2507,155,26-11-2004,AI564240,M,AOI100068,128
CI24658,1,SI2508,20,25-11-2004,AI564409,M,AOI100489,
CI24659,1,SI2508,7,26-11-2004,AI563576,M,AOI100001,
CI24660,1,SI2508,20,26-11-2004,AI564217,M,AOI100080,
CI24661,1,SI2508,11,25-11-2004,AI564398,M,AOI100484,
CI24662,1,SI2508,33,26-11-2004,AI564411,M,AOI100373,
CI24663,1,SI2508,27,25-11-2004,AI564406,M,AOI100487,
CI24664,2,SI2513,48,27-09-2006,AI564412,M,AOI100490,23
CI24665,2,SI2513,33,27-09-2006,AI564413,M,AOI100011,23
CI24666,2,SI2513,99,27-09-2006,AI564414,M,AOI100491,23
CI24667,2,SI2513,64,27-09-2006,AI564415,M,AOI100492,23
CI24668,2,SI2513,30,27-09-2006,AI564416,M,AOI100453,23
CI24669,2,SI2513,51,27-09-2006,AI564417,M,AOI100493,23
CI24670,1,SI2518,678,29-03-2006,AI564418,M,AOI100494,27
CI24671,2,SI2518,285,29-03-2006,AI564418,M,AOI100494,
CI24672,1,SI2518,5103,29-03-2005,AI564418,M,AOI100494,27
CI24673,2,SI2520,646,06-03-2007,AI564419,M,AOI100495,
CI24674,2,SI2447,727,06-03-2007,AI564420,M,AOI100496,57
CI24675,1,SI2498,360,08-03-2006,AI564421,M,AOI100497,23
CI24676,2,SI2526,162,08-03-2007,AI564422,M,AOI100498,57
CI24677,1,SI2521,46,08-12-2006,,,,112
CI24678,1,SI2522,176,08-12-2006,AI563734,M,AOI100114,72
CI24679,1,SI2526,258,09-03-2007,AI564275,M,AOI100013,57
CI24680,1,SI2447,882,23-01-2007,AI563637,F,AOI100052,48
CI24681,2,SI2527,26,14-02-2007,AI564423,M,AOI100064,
CI24682,2,SI2527,30,14-02-2007,AI564424,M,AOI100452,
CI24683,2,SI2527,33,14-03-2007,AI564425,M,AOI100011,
CI24684,2,SI2527,25,14-02-2007,AI564426,M,AOI100011,
CI24685,2,SI2527,59,14-03-2007,AI564427,F,AOI100499,
CI24686,2,SI2527,40,14-03-2007,AI564428,M,AOI100491,
CI24687,2,SI2527,97,14-02-2007,AI564429,M,AOI100500,
CI24688,2,SI2527,86,14-02-2007,AI564430,F,AOI100491,
CI24689,2,SI2527,148,14-02-2007,AI564431,F,AOI100453,
CI24690,1,SI2447,1118,13-03-2007,AI563611,M,AOI100032,40
CI24691,2,SI2447,182,20-03-2007,AI564432,M,AOI100501,
CI24692,1,SI2447,1748,17-02-2006,AI564433,M,AOI100502,39
CI24693,2,SI2440,244,19-03-2007,AI563596,M,AOI100011,
CI24694,2,SI2440,181,20-03-2007,AI564434,M,AOI100503,75
CI24695,1,SI2440,107,21-03-2007,AI564435,M,AOI100504,92
CI24696,2,SI2440,147,22-03-2007,AI564436,M,AOI100011,70
CI24697,2,SI2440,299,21-03-2007,AI563596,M,AOI100011,
CI24698,2,SI2440,148,22-03-2007,AI563596,M,AOI100011,
CI24699,2,SI2440,105,23-03-2007,AI563596,M,AOI100011,
CI24700,1,SI2499,192,06-11-2006,AI564329,M,AOI100443,39
CI24701,1,SI2499,838,08-11-2006,AI564329,M,AOI100443,39
CI24702,1,SI2499,35,09-11-2006,AI564117,M,AOI100128,39
CI24703,2,SI2528,803,23-03-2007,AI564437,M,AOI100505,98
CI24704,2,SI2528,636,24-03-2007,AI564437,M,AOI100505,98
CI24705,2,SI2528,389,24-03-2007,AI564438,F,AOI100506,27
CI24706,1,SI2514,56,08-11-2006,AI564439,M,AOI100507,54
CI24707,1,SI2514,65,08-11-2006,AI564440,M,AOI100508,54
CI24708,1,SI2514,92,08-11-2006,AI564441,F,AOI100386,39
CI24709,1,SI2515,112,06-11-2006,AI564274,M,AOI100378,
CI24710,1,SI2515,70,06-11-2006,AI564442,F,AOI100509,
CI24711,1,SI2515,46,06-11-2006,AI564443,M,AOI100102,39
CI24712,1,SI2515,50,06-11-2006,AI564444,F,AOI100278,
CI24713,1,SI2515,60,06-11-2006,AI564445,F,AOI100510,
CI24714,1,SI2515,44,06-11-2006,AI564446,M,AOI100511,80
CI24715,1,SI2515,72,06-11-2006,AI564297,M,AOI100390,
CI24716,1,SI2529,430,29-03-2007,AI564447,M,AOI100512,32
CI24717,1,SI2529,234,29-03-2007,AI564448,M,AOI100400,32
CI24718,1,SI2529,217,29-03-2007,AI564449,M,AOI100513,46
CI24719,1,SI2529,255,29-03-2007,AI564450,M,AOI100514,46
CI24720,1,SI2529,298,29-03-2007,AI564451,M,AOI100515,46
CI24721,1,SI2529,895,29-03-2007,AI564452,M,AOI100114,32
CI24722,1,SI2529,148,28-03-2007,AI563734,M,AOI100114,77
CI24723,1,SI2529,1004,28-03-2007,AI564453,M,AOI100516,66
CI24724,1,SI2529,683,28-03-2007,AI564454,F,AOI100517,32
CI24725,1,SI2529,443,28-03-2007,AI564455,M,AOI100518,32
CI24726,1,SI2529,776,28-03-2007,AI564456,F,AOI100517,32
CI24727,1,SI2529,519,28-03-2007,AI564457,M,,32
CI24728,1,SI2529,254,28-03-2007,AI564458,M,AOI100091,32
CI24729,1,SI2529,637,28-03-2007,AI564459,M,AOI100145,32
CI24730,1,SI2529,403,28-03-2007,AI564460,M,AOI100519,32
CI24731,1,SI2529,64,29-03-2007,AI563734,M,AOI100114,112
CI24732,1,SI2447,517,03-04-2007,AI564461,M,AOI100520,28
CI24733,1,SI2447,279,10-04-2007,AI563638,F,AOI100053,76
CI24734,1,SI2446,336,10-04-2007,AI564462,M,AOI100521,70
CI24735,1,SI2478,157,03-05-2006,AI564463,M,AOI100192,132
CI24736,1,SI2478,100,03-05-2006,AI564464,M,AOI100522,
CI24737,1,SI2470,68,03-10-2005,AI563655,M,AOI100068,
CI24738,1,SI2470,53,03-10-2005,AI564465,M,AOI100108,74
CI24739,1,SI2470,89,03-10-2005,AI564129,M,AOI100112,
CI24740,1,SI2453,93,07-08-2005,AI563722,M,AOI100001,30
CI24741,1,SI2453,132,09-08-2005,AI563940,M,AOI100054,31
CI24742,2,SI2530,389,15-03-2007,AI564466,M,,
CI24743,2,SI2530,191,11-01-2007,AI564467,M,AOI100523,98
CI24744,2,SI2530,116,28-02-2007,AI564468,M,AOI100505,
CI24745,2,SI2530,108,20-02-2007,AI564469,M,,
CI24746,1,SI2530,305,17-10-2006,AI564470,F,AOI100524,27
CI24747,1,SI2478,107,04-05-2006,AI564471,M,,73
CI24748,1,SI2478,119,04-05-2006,AI564472,F,AOI100525,
CI24749,1,SI2478,104,03-05-2006,AI564473,F,AOI100526,
CI24750,1,SI2478,105,03-05-2006,AI564474,M,AOI100240,
CI24751,1,SI2478,68,03-05-2006,AI564475,F,AOI100525,
CI24752,1,SI2478,58,04-05-2006,AI564476,M,AOI100527,
CI24753,1,SI2478,26,03-05-2006,AI564477,M,AOI100130,
CI24754,1,SI2478,138,04-05-2006,AI564478,M,AOI100318,73
CI24755,1,SI2471,117,12-07-2005,AI564479,F,AOI100528,
CI24756,1,SI2476,183,18-06-2006,AI563778,F,AOI100145,30
CI24757,1,SI2480,79,03-05-2006,AI564480,M,AOI100141,
CI24758,1,SI2480,86,10-04-2006,AI564481,M,AOI100361,
CI24759,1,SI2480,123,10-04-2006,AI564482,M,AOI100529,60
CI24760,1,SI2480,79,10-04-2006,AI563724,M,AOI100098,
CI24761,1,SI2480,41,10-04-2006,AI563880,M,AOI100211,
CI24762,1,SI2480,41,10-04-2006,AI563869,M,AOI100205,
CI24763,1,SI2480,29,10-04-2006,AI564483,M,AOI100103,
CI24764,2,SI2447,198,27-03-2007,AI563675,M,AOI100011,
CI24765,1,SI2521,112,08-12-2006,AI564484,M,AOI100122,40
CI24766,3,SI2530,439,18-04-2007,AI564485,M,,84
CI24767,1,SI2447,93,17-04-2007,AI564486,M,AOI100175,41
CI24768,1,SI2469,67,16-05-2005,AI563655,M,AOI100068,29
CI24769,2,SI2531,91,27-03-2007,AI564487,M,AOI100011,
CI24770,2,SI2531,108,27-03-2007,AI564156,M,AOI100013,
CI24771,2,SI2531,335,27-03-2007,AI563576,M,AOI100001,
CI24772,2,SI2531,402,27-03-2007,AI563780,F,AOI100001,
CI24773,1,SI2446,294,25-04-2007,AI564488,M,AOI100530,71
CI24774,1,SI2532,346,28-10-2005,AI564489,M,AOI100531,68
CI24775,1,SI2530,494,25-04-2007,AI564490,M,AOI100483,38
CI24776,1,SI2532,77,28-10-2005,AI564491,M,AOI100532,68
CI24777,1,SI2532,42,28-10-2005,AI564492,M,AOI100532,68
CI24778,1,SI2532,19,28-10-2005,,,,68
CI24779,1,SI2532,46,28-10-2005,AI564493,M,AOI100532,68
CI24780,1,SI2532,52,28-10-2005,AI564494,M,AOI100533,68
CI24781,1,SI2532,55,28-10-2005,AI564495,M,AOI100534,68
CI24782,1,SI2532,34,28-10-2005,AI564496,M,AOI100535,68
CI24783,1,SI2532,42,28-10-2005,AI564497,F,AOI100536,68
CI24784,1,SI2532,133,28-10-2005,AI564498,M,,68
CI24785,1,SI2533,734,18-04-2007,AI564259,M,AOI100409,23
CI24786,1,SI2533,281,18-04-2007,AI564259,M,AOI100409,23
CI24787,1,SI2533,67,18-04-2007,AI564156,M,AOI100013,
CI24788,1,SI2533,40,18-04-2007,AI564499,M,AOI100537,
CI24789,1,SI2533,47,18-04-2007,AI564499,M,AOI100537,
CI24790,2,SI2533,59,18-04-2007,AI564500,M,AOI100030,
CI24791,2,SI2533,39,18-04-2007,AI564501,M,AOI100410,
CI24792,2,SI2533,97,18-04-2007,AI564502,M,AOI100538,
CI24793,1,SI2533,222,18-04-2007,AI564502,M,AOI100538,71
CI24794,2,SI2533,120,18-04-2007,AI564503,M,AOI100410,
CI24795,1,SI2446,615,09-05-2007,AI564504,M,AOI100539,70
CI24796,1,SI2444,164,11-10-2006,AI564135,M,AOI100002,136
CI24797,1,SI2444,147,09-05-2007,AI563639,M,AOI100002,29
CI24798,2,SI2534,59,31-03-2007,AI563588,F,AOI100013,
CI24799,2,SI2534,69,31-03-2007,AI563576,M,AOI100001,
CI24800,2,SI2534,77,31-03-2007,AI563613,M,AOI100001,
CI24801,2,SI2534,119,31-03-2007,AI563576,M,AOI100001,
CI24802,1,SI2535,212,24-04-2007,AI564505,M,AOI100540,57
CI24803,2,SI2534,143,31-03-2007,AI564506,F,AOI100541,
CI24804,2,SI2534,211,31-03-2007,AI564507,M,AOI100011,
CI24805,2,SI2534,203,31-03-2007,AI563668,M,AOI100002,
CI24806,2,SI2534,2187,31-03-2007,AI564508,M,AOI100011,
CI24807,2,SI2534,262,31-03-2007,AI564509,M,AOI100542,
CI24808,2,SI2534,2011,31-03-2007,AI564510,M,AOI100543,226
CI24809,2,SI2754,217,13-07-2006,AI564511,F,AOI100544,206
CI24810,2,SI2754,80,11-07-2006,AI564512,F,AOI100545,165
CI24811,2,SI2754,79,12-07-2006,AI564513,M,AOI100505,165
CI24812,2,SI2754,180,10-07-2006,AI564514,F,AOI100505,165
CI24813,2,SI2754,220,06-07-2006,AI564515,M,AOI100505,165
CI24814,2,SI2754,92,11-07-2006,AI564516,M,,165
CI24815,2,SI2535,84,11-05-2007,AI564517,M,AOI100546,57
CI24816,1,SI2536,58,11-09-2001,AI564518,M,,42
CI24817,1,SI2536,235,11-09-2001,AI564519,F,,42
CI24818,1,SI2536,31,11-09-2001,AI564520,M,,42
CI24819,1,SI2537,109,15-05-2007,AI564521,M,AOI100547,
CI24820,2,SI2535,23,11-05-2007,AI564522,M,AOI100548,57
CI24821,1,SI2537,260,15-05-2007,AI563765,M,AOI100137,66
CI24822,1,SI2537,58,15-05-2007,AI564523,M,AOI100549,
CI24823,1,SI2537,138,15-05-2007,AI564524,M,AOI100160,66
CI24824,2,SI2535,157,11-05-2007,AI564510,M,AOI100543,57
CI24825,2,SI2535,12,11-05-2007,,,,57
CI24826,2,SI2754,110,10-07-2006,AI564525,F,AOI100550,206
CI24827,2,SI2754,68,13-07-2006,AI564526,M,AOI100551,165
CI24828,1,SI2537,178,15-05-2007,AI564527,M,AOI100092,72
CI24829,1,SI2536,40,11-09-2001,AI564528,M,,42
CI24830,1,SI2515,20,06-11-2006,AI564208,M,AOI100378,80
CI24831,1,SI2515,62,06-11-2006,AI564208,M,AOI100378,39
CI24832,1,SI2536,18,11-09-2001,AI564529,M,,42
CI24833,1,SI2515,49,06-11-2006,AI564530,M,AOI100552,80
CI24834,1,SI2515,315,06-11-2006,AI564531,F,AOI100553,80
CI24835,1,SI2515,114,06-01-2006,AI564532,M,AOI100118,80
CI24836,1,SI2515,31,06-11-2006,AI564208,M,AOI100378,
CI24837,1,SI2536,37,11-09-2001,AI564533,M,,42
CI24838,1,SI2537,194,16-05-2007,AI564534,M,AOI100554,29
CI24839,1,SI2536,67,11-09-2001,,,,42
CI24840,1,SI2538,1649,23-05-2007,AI563616,F,AOI100001,48
CI24841,1,SI2538,333,23-05-2007,AI564135,M,AOI100002,136
CI24842,1,SI2538,198,23-05-2007,AI563639,M,AOI100002,26
CI24843,2,SI2538,46,23-05-2007,AI564535,F,AOI100555,
CI24844,1,SI2538,359,23-05-2007,AI563604,M,AOI100011,97
CI24845,1,SI2538,325,23-05-2007,AI564536,M,AOI100164,23
CI24846,1,SI2447,501,24-05-2007,AI564278,M,AOI100419,54
