Offered_By,Category,Rating,Reviews,Size,Price,Content_Rating,Last_Updated_On,Release_Version,OS_Version_Required,Downloads
ps_id-12648,Game Puzzle,4.69,2866,48M,148.4142,Everyone,May 05 2020,1.5.0.11,4.1 and up,"10,000+"
ps_id-8207,Shopping,4.2,2099,4.0M,Free,Everyone,Jan 27 2019,1.1.1,4.0.3 and up,"100,000+"
ps_id-1313,Food And Drink,4.28,54,39M,Free,Everyone,May 05 2020,1.16,4.0.3 and up,"10,000+"
ps_id-18972,Education,4.36,3581,48M,Free,Everyone,Feb 22 2020,6.3.2.4,4.2 and up,"1,000,000+"
ps_id-30807,Productivity,3.67,3,1.6M,Free,Everyone,Nov 07 2019,1.1,4.1 and up,"1,000+"
ps_id-8949,Game Arcade,4.55,115615,60M,Free,Everyone,May 02 2020,3.2.5,4.0.3 and up,"1,000,000+"
ps_id-30543,Tools,4.17,77835,8.7M,Free,Everyone,Mar 12 2020,3.0.14,4.1 and up,"5,000,000+"
ps_id-22869,Books And Reference,4.72,44872,62M,Free,Everyone,Jan 20 2020,2.7.5,4.0 and up,"1,000,000+"
ps_id-27549,Books And Reference,4.05,98833,25M,Free,Mature 17+,Apr 28 2020,3.17,4.1 and up,"10,000,000+"
ps_id-32131,Game Role Playing,4.72,31902,88M,Free,Everyone 10+,Mar 05 2020,1.0.0029,4.1 and up,"1,000,000+"
ps_id-16703,Health And Fitness,4.8,12705,15M,Free,Everyone,Aug 14 2019,1.0.2,4.0 and up,"1,000,000+"
ps_id-30060,Health And Fitness,3.89,1995,13M,Free,Everyone,Mar 04 2020,3.4.4,4.1 and up,"500,000+"
ps_id-2195,Education,4.45,5520,42M,Free,Everyone,Mar 27 2020,3.36,4.1 and up,"1,000,000+"
ps_id-11703,Tools,4.66,1893,1.9M,148.4142,Everyone,Mar 20 2020,1.5.12,4.4 and up,"10,000+"
ps_id-8087,Education,4.0,19,54M,Free,Everyone,Dec 27 2019,6,4.1 and up,"5,000+"
ps_id-14798,Finance,4.34,1006,6.0M,Free,Everyone,Apr 23 2020,2.0.2,4.4 and up,"50,000+"
ps_id-36334,Game Puzzle,5.0,1,25M,Free,Everyone,Mar 28 2020,1.0.0,4.1 and up,500+
ps_id-9176,Shopping,4.43,197,26M,Free,Everyone,Apr 15 2020,4.1.4,5.0 and up,"10,000+"
ps_id-34677,Tools,3.9,21249,14M,Free,Everyone,Jan 31 2020,1.3.4,4.1 and up,"5,000,000+"
ps_id-22174,Lifestyle,4.47,5130,24M,Free,Everyone,Apr 12 2020,3.0.0,4.4 and up,"500,000+"
ps_id-29378,Shopping,3.64,7014,12M,Free,Everyone,Apr 29 2020,4.2.2,4.4 and up,"1,000,000+"
ps_id-26679,Sports,4.74,619,11M,Free,Everyone,Oct 23 2019,1.2.6,5.0 and up,"10,000+"
ps_id-11743,Family,3.2,190,23M,Free,Everyone,Aug 27 2019,3.0.0.2927,5.0 and up,"50,000+"
ps_id-2652,Health And Fitness,4.83,23,41M,Free,Everyone,Nov 15 2018,2.9.0,4.1 and up,"5,000+"
ps_id-28010,News And Magazines,4.44,257,5.1M,Free,Everyone,Mar 26 2020,0.8,4.4 and up,"100,000+"
ps_id-2565,Finance,4.22,11013,63M,Free,Everyone,Apr 01 2020,2.5.0,4.4 and up,"1,000,000+"
ps_id-8939,Game Arcade,4.12,8,35M,Free,Everyone,Nov 25 2018,1,4.1 and up,100+
ps_id-4649,Lifestyle,4.56,176,3.8M,Free,Everyone,Mar 07 2020,1.6,4.0.3 and up,"50,000+"
ps_id-22336,Travel And Local,4.12,16,3.7M,Free,Everyone,Nov 14 2016,1.0.0,4.0.3 and up,"5,000+"
ps_id-30729,Health And Fitness,4.6,4102,24M,Free,Everyone 10+,Aug 23 2019,2.6.1,4.2 and up,"500,000+"
ps_id-13223,Sports,4.59,38589,23M,Free,Everyone,Apr 07 2020,1.4.4,4.1 and up,"1,000,000+"
ps_id-4086,Education,4.67,9,10M,Free,Everyone,Apr 23 2020,1,4.1 and up,"1,000+"
ps_id-31152,Finance,4.44,523,2.2M,Free,Everyone,Apr 16 2020,1.7.3,4.0 and up,"50,000+"
ps_id-7831,Food And Drink,4.5,9066,15M,Free,Everyone,May 30 2019,4.0.0.427,5.1 and up,"500,000+"
ps_id-6557,Game Trivia,4.2,30714,1.4M,Free,Everyone,Sep 26 2019,2.2,1.5 and up,"5,000,000+"
ps_id-9245,Sports,4.44,48082,5.3M,Free,Everyone,Apr 02 2020,3.1,4.0 and up,"5,000,000+"
ps_id-15782,News And Magazines,3.0,1,3.1M,Free,Everyone,Oct 25 2019,1,4.1 and up,"1,000+"
ps_id-16656,Books And Reference,4.63,2628,16M,Free,Everyone,May 04 2020,1.0.0,4.4 and up,"1,000,000+"
ps_id-5096,Lifestyle,4.73,271608,16M,Free,Everyone,Apr 05 2020,2.1.42,4.1 and up,"5,000,000+"
ps_id-19559,Lifestyle,4.0,46,2.8M,Free,Everyone,Jun 06 2019,1.2,4.0.3 and up,"5,000+"
ps_id-2470,Tools,4.7,6505,2.0M,222.9942,Everyone,Dec 08 2018,6.4.0,4.0 and up,"50,000+"
ps_id-30913,Game Role Playing,4.68,15295,25M,222.9942,Everyone,Mar 21 2020,6.2.3,1.6 and up,"100,000+"
ps_id-12277,Education,4.7,254519,27M,Free,Everyone,Aug 24 2019,2.8.1,4.1 and up,"5,000,000+"
ps_id-33042,Lifestyle,4.3,258717,9.4M,Free,Everyone,Oct 30 2018,1.3.1,4.0.3 and up,"10,000,000+"
ps_id-32706,Game Adventure,4.7,24449,8.4M,222.9942,Everyone,Dec 02 2019,4,4.0.3 and up,"100,000+"
ps_id-21997,Shopping,4.33,17080,68M,Free,Everyone,Apr 03 2020,4.5.0,5.0 and up,"500,000+"
ps_id-35090,Finance,4.41,457456,Varies with device,Free,Everyone,Apr 28 2020,Varies with device,Varies with device,"5,000,000+"
ps_id-23903,Sports,4.09,491008,Varies with device,Free,Everyone,Apr 01 2020,Varies with device,Varies with device,"50,000,000+"
ps_id-1157,Productivity,4.73,421,1.5M,Free,Everyone,Nov 28 2019,1.0.28,4.0 and up,"50,000+"
ps_id-13871,Game Puzzle,4.26,200786,11M,Free,Everyone,Jan 18 2020,3.6,4.1 and up,"10,000,000+"
ps_id-34722,Game Casino,4.43,58471,Varies with device,Free,Teen,Aug 05 2017,Varies with device,Varies with device,"1,000,000+"
ps_id-4609,Finance,4.12,15985,21M,Free,Everyone,Mar 22 2020,5.1.27,4.4 and up,"500,000+"
ps_id-25172,Maps And Navigation,4.2,453,36M,222.9942,Everyone,May 07 2019,4.3,4.1 and up,"10,000+"
ps_id-35015,Music And Audio,4.57,5155,78k,Free,Everyone,Nov 04 2019,3.3,4.1 and up,"500,000+"
ps_id-27389,Music And Audio,4.15,4482,54M,Free,Everyone,Apr 04 2020,2.2.1,4.1 and up,"1,000,000+"
ps_id-9337,Entertainment,3.7,310095,Varies with device,Free,Teen,Apr 09 2019,Varies with device,Varies with device,"10,000,000+"
ps_id-25593,Photography,4.43,4076,7.0M,Free,Everyone,Apr 12 2020,2.0.8,4.1 and up,"100,000+"
ps_id-10184,Health And Fitness,4.8,6,14M,Free,Everyone,Apr 27 2019,7.7.3,4.1 and up,100+
ps_id-24316,Tools,4.3,2059,10M,Free,Everyone,Jun 26 2019,1.1.4,5.0 and up,"100,000+"
ps_id-24437,Medical,4.39,2535,11M,Free,Everyone,Jun 21 2019,4.5.1,4.4 and up,"10,000+"
ps_id-14931,Education,4.59,458,4.4M,Free,Everyone,Mar 16 2020,5.1,4.0.3 and up,"50,000+"
ps_id-6318,Education,3.61,57,3.5M,Free,Everyone,Oct 18 2018,1.1.2,2.3.3 and up,"10,000+"
ps_id-29131,Health And Fitness,4.5,14394,9.9M,Free,Everyone,Aug 20 2018,Public.heal,4.0.3 and up,"500,000+"
ps_id-20,Game Puzzle,4.79,906,46M,148.4142,Everyone,May 05 2020,1.0.7.4,4.1 and up,"5,000+"
ps_id-11354,Game Card,4.52,40636,57M,Free,Teen,Apr 22 2020,1.9.2,4.1 and up,"1,000,000+"
ps_id-1313,Game Puzzle,4.78,9,7.2M,Free,Everyone,Mar 01 2020,1.2,4.2 and up,100+
ps_id-20341,Sports,4.42,296049,Varies with device,Free,Everyone,Mar 20 2020,Varies with device,4.1 and up,"10,000,000+"
ps_id-7757,Lifestyle,4.4,39364,28M,Free,Everyone,Aug 21 2019,10.19,4.0.3 and up,"5,000,000+"
ps_id-33735,Game Adventure,4.69,41420,28M,Free,Everyone 10+,Apr 30 2020,1.4.1,4.1 and up,"500,000+"
ps_id-14019,Productivity,4.4,93932,50M,Free,Everyone,Apr 24 2020,4.7.5,4.4 and up,"5,000,000+"
ps_id-29723,Personalization,4.53,406,41M,Free,Everyone,Mar 27 2020,1,4.1 and up,"100,000+"
ps_id-19817,Game Educational,4.55,2440,50M,Free,Everyone,Jan 04 2020,2.5,4.1 and up,"500,000+"
ps_id-11221,News And Magazines,3.57,2274,29M,Free,Everyone,Apr 07 2020,7.6.0,4.1 and up,"100,000+"
ps_id-34459,Education,4.01,110,2.8M,Free,Everyone,Dec 14 2019,6.2,5.0 and up,"10,000+"
ps_id-29965,Tools,4.2,2274,13M,Free,Everyone,Mar 05 2020,9.0.1.321,7.0 and up,"100,000,000+"
ps_id-36503,Communication,4.3,76376,13M,Free,Everyone,Apr 18 2020,4.3.6a,4.4 and up,"1,000,000+"
ps_id-28476,Personalization,4.67,10832,352k,Free,Everyone,Jan 07 2020,8.1.5,4.4 and up,"1,000,000+"
ps_id-25603,Photography,3.43,7,9.6M,Free,Everyone,Apr 08 2020,1,4.0.3 and up,"1,000+"
ps_id-12347,Shopping,3.04,245,7.5M,Free,Everyone,May 01 2020,3.3.0,4.1 and up,"100,000+"
ps_id-35932,Game Word,4.92,13,30M,Free,Everyone,Sep 13 2019,1,4.1 and up,"1,000+"
ps_id-19820,Game Educational,4.57,2307,28M,Free,Everyone,Dec 12 2019,1.27,3.0 and up,"500,000+"
ps_id-6961,Productivity,4.5,2965,2.4M,Free,Everyone,Jun 13 2016,1.1.3,4.3 and up,"100,000+"
ps_id-6529,Music And Audio,4.79,1828,74M,Free,Everyone,Mar 18 2020,8.1,4.4 and up,"50,000+"
ps_id-19064,Books And Reference,4.72,852,7.2M,Free,Everyone,Jun 26 2019,1,4.0 and up,"10,000+"
ps_id-18722,Education,4.74,7620,3.9M,Free,Mature 17+,Mar 26 2020,1.2.4,4.1 and up,"100,000+"
ps_id-36137,Game Arcade,4.17,68063,13M,372.1542,Everyone 10+,Mar 29 2019,2.06,2.3 and up,"1,000,000+"
ps_id-8442,Productivity,4.3,144879,Varies with device,Free,Everyone,Feb 27 2017,3.5.0,Varies with device,"10,000,000+"
ps_id-28042,Personalization,4.67,6536,11M,Free,Teen,Apr 30 2020,3.4,5.0 and up,"100,000+"
ps_id-20384,Travel And Local,1.81,36,6.9M,Free,Everyone,Apr 21 2017,1.1,4.0.3 and up,"10,000+"
ps_id-11472,Game,4.3,56,23M,73.8342,Everyone,Jan 10 2016,1.0.28,2.3 and up,"1,000+"
ps_id-24211,Finance,4.1,401,3.1M,Free,Everyone,Apr 11 2020,1.999,4.1 and up,"50,000+"
ps_id-5045,Social,4.66,631,17M,Free,Everyone,Feb 18 2020,2.2,4.0.3 and up,"100,000+"
ps_id-29726,Art And Design,4.5,215644,25M,Free,Teen,Jul 13 2019,Varies with device,4.2 and up,"50,000,000+"
ps_id-13327,Finance,4.14,2518,6.2M,Free,Everyone,Apr 11 2020,5.8,4.1 and up,"100,000+"
ps_id-9992,Entertainment,4.31,3123,4.3M,Free,Everyone,Dec 26 2019,1.3.7,4.1 and up,"500,000+"
ps_id-27345,Music And Audio,4.79,2383,4.6M,Free,Everyone,May 07 2020,1.2.0,5.0 and up,"100,000+"
ps_id-36501,Video Players,4.74,304345,23M,Free,Everyone,May 01 2020,1.294.72,4.3 and up,"10,000,000+"
ps_id-26889,Education,5.0,1,23M,Free,Everyone,Apr 30 2020,1.3.0,4.1 and up,100+
ps_id-8572,Game Arcade,3.88,137215,43M,Free,Everyone,May 06 2020,1.1.3,5.0 and up,"50,000,000+"
ps_id-33387,Game Puzzle,4.18,11,18M,Free,Everyone,Aug 27 2019,1.01,4.1 and up,500+
ps_id-31901,Books And Reference,3.15,13,3.9M,Free,Everyone,May 11 2019,4.1,4.0.3 and up,"1,000+"
ps_id-29894,Game Simulation,4.65,1172,45M,Free,Everyone,Dec 26 2019,1,4.1 and up,"50,000+"
ps_id-1440,Music And Audio,4.6,951,74M,Free,Everyone,May 06 2020,1.0.45,4.0 and up,"100,000+"
ps_id-30492,Books And Reference,4.28,55100,9.2M,Free,Everyone 10+,Jan 27 2020,4.1,4.2 and up,"5,000,000+"
ps_id-16231,Entertainment,4.5,114,6.0M,Free,Everyone,Jan 04 2020,1.2,4.0.3 and up,"50,000+"
ps_id-9442,Photography,4.79,32004,9.1M,Free,Everyone,Dec 03 2019,1.3.5,4.1 and up,"1,000,000+"
ps_id-8346,Communication,5.0,5,29M,Free,Everyone,Feb 07 2020,1.0.0,4.1 and up,100+
ps_id-26919,Game Card,4.2,86,7.7M,Free,Everyone,Nov 16 2019,1.5,4.0 and up,"10,000+"
ps_id-30932,Food And Drink,4.5,455496,35M,Free,Everyone,Sep 05 2019,4.11.1,4.4 and up,"10,000,000+"
ps_id-6326,Business,4.78,23,16M,Free,Everyone,May 05 2020,4.1.1,4.4 and up,"5,000+"
ps_id-36525,Family,4.4,38517,17M,Free,Teen,Sep 06 2019,2.29.2,5.0 and up,"1,000,000+"
ps_id-35301,Personalization,4.4,33982,9.4M,Free,Teen,Feb 22 2020,2.5.3,4.0 and up,"5,000,000+"
ps_id-14467,Game Casual,4.33,8321,21M,Free,Everyone,Apr 04 2020,2.8.3911,4.0.3 and up,"1,000,000+"
ps_id-2360,Video Players,4.54,97628,35M,Free,Everyone,Mar 04 2020,3.1.1,4.3 and up,"5,000,000+"
ps_id-35088,Photography,4.43,906126,Varies with device,Free,Everyone,May 06 2020,105,4.4 and up,"50,000,000+"
ps_id-29329,Art And Design,4.28,18,4.4M,Free,Everyone,Jan 06 2020,1.0.9,4.0 and up,"5,000+"
ps_id-21334,Maps And Navigation,4.06,2791,Varies with device,Free,Everyone,May 01 2020,Varies with device,Varies with device,"100,000+"
ps_id-19646,Education,4.66,302,7.0M,Free,Everyone,May 03 2020,1.6.1,4.3 and up,"50,000+"
ps_id-3909,Entertainment,3.27,232,25M,Free,Teen,Jan 27 2020,11.5,4.4 and up,"50,000+"
ps_id-12686,Finance,4.18,5167,1.8M,Free,Everyone,Apr 25 2020,4.9,4.0 and up,"500,000+"
ps_id-10981,Game Action,4.62,75291,55M,Free,Teen,Feb 27 2020,1.5.2,4.1 and up,"1,000,000+"
ps_id-15605,Game,4.5,1137271,59M,Free,Teen,Jul 03 2019,1.4.0.1,4.0 and up,"50,000,000+"
ps_id-29492,Photography,4.63,129901,44M,Free,Everyone,May 06 2020,6.5.0,5.0 and up,"5,000,000+"
ps_id-7794,Lifestyle,4.73,88,27M,Free,Teen,Aug 22 2019,1.3,5.0 and up,"5,000+"
ps_id-31659,Lifestyle,4.8,10,11M,Free,Everyone,Feb 22 2019,4.2.7,4.1 and up,"1,000+"
ps_id-10490,Medical,4.33,27986,4.1M,Free,Everyone,Nov 18 2019,2.1,4.0.3 and up,"1,000,000+"
ps_id-14442,Family,4.3,1574197,37M,Free,Everyone,Aug 31 2019,6.7.0,4.2 and up,"50,000,000+"
ps_id-4722,Game,4.1,68057,85M,Free,Everyone,Sep 03 2019,1.3.7,4.1 and up,"10,000,000+"
ps_id-34932,Game Strategy,4.76,1456715,69M,Free,Everyone,Apr 30 2020,2.13,4.1 and up,"10,000,000+"
ps_id-33029,Productivity,4.2,2537,8.5M,Free,Everyone,Feb 14 2019,2.2 (protostar),4.0 and up,"500,000+"
ps_id-36194,Photography,4.73,35821,37M,Free,Everyone,Apr 29 2020,2.1.6,4.3 and up,"5,000,000+"
ps_id-19874,Family,4.4,854,6.9M,372.1542,Everyone,Jan 04 2017,Varies with device,4.0.3 and up,"10,000+"
ps_id-26290,Family,4.8,1228,29M,Free,Everyone,May 02 2019,1.7,4.1 and up,"10,000+"
ps_id-17642,Entertainment,4.54,1565,7.0M,Free,Everyone,Apr 04 2020,0.0.4,4.1 and up,"50,000+"
ps_id-9927,Business,3.62,101,16M,Free,Everyone,Apr 16 2020,1.5.13,4.1 and up,"50,000+"
ps_id-31918,Game Casual,4.18,7062,41M,Free,Everyone,May 01 2020,1.2.1,4.4 and up,"1,000,000+"
ps_id-28728,Lifestyle,4.64,60944,6.1M,Free,Everyone,Jan 23 2020,10.1,4.1 and up,"5,000,000+"
ps_id-3562,Family,3.6,5,5.4M,Free,Everyone,Aug 07 2019,1.6.7.1,4.1 and up,"1,000+"
ps_id-15392,Entertainment,4.72,698,21M,Free,Everyone,Sep 30 2019,1,4.0.3 and up,"100,000+"
ps_id-32612,Game Simulation,2.85,3251,37M,Free,Teen,Mar 20 2020,2.1,4.1 and up,"500,000+"
ps_id-33911,Tools,4.2,571,2.6M,Free,Everyone,Mar 20 2019,2.1,4.0.3 and up,"100,000+"
ps_id-31259,Game Sports,3.96,160676,33M,Free,Everyone,Aug 12 2016,1.7.2,2.2 and up,"10,000,000+"
ps_id-441,Maps And Navigation,3.76,296,14M,Free,Everyone,Apr 01 2020,2.21,4.1 and up,"100,000+"
ps_id-15000,Lifestyle,4.5,1563,Varies with device,Free,Everyone,May 11 2017,1.2.1,4.0 and up,"100,000+"
ps_id-5594,Game Casino,4.58,8502,44M,Free,Teen,Apr 27 2020,1.0.239,2.3 and up,"100,000+"
ps_id-33590,Game Arcade,4.02,256,45M,Free,Everyone,Apr 28 2020,1.1.0,4.1 and up,"50,000+"
ps_id-5397,Finance,3.87,1109,4.6M,Free,Everyone,May 03 2020,1.2.11,4.3 and up,"100,000+"
ps_id-10459,Maps And Navigation,4.44,9,Varies with device,Free,Everyone,May 03 2020,Varies with device,Varies with device,500+
ps_id-28185,Entertainment,4.39,61,11M,Free,Everyone,Mar 30 2020,1.8,4.0.3 and up,"10,000+"
ps_id-15059,Photography,4.72,63804,27M,Free,Everyone,Apr 27 2020,1.5.20,4.1 and up,"1,000,000+"
ps_id-9108,Family,4.1,187,2.9M,Free,Everyone,Oct 18 2017,3.21,4.1 and up,"10,000+"
ps_id-713,Education,4.78,987,11M,Free,Everyone,Apr 09 2020,1.0.5,4.4 and up,"50,000+"
ps_id-13926,Game Trivia,1.42,33,28M,Free,Everyone,Sep 12 2019,1,6.0 and up,"1,000+"
ps_id-23923,Maps And Navigation,4.46,26,57M,Free,Everyone,Mar 19 2020,12.12.1,4.3 and up,"10,000+"
ps_id-8890,Tools,4.57,22091,6.4M,Free,Everyone,Jan 14 2019,2.3.3,2.3 and up,"500,000+"
ps_id-7200,Game Casual,4.56,40035,39M,Free,Everyone,Apr 29 2020,Varies with device,Varies with device,"1,000,000+"
ps_id-35431,Health And Fitness,4.33,6116,30M,Free,Everyone,Feb 14 2020,3.5.2,4.1 and up,"100,000+"
ps_id-11806,Education,4.68,1942,6.4M,Free,Everyone,Nov 10 2019,1.10.1,4.0.3 and up,"100,000+"
ps_id-36442,Photography,4.13,61220,44M,Free,Everyone,Aug 06 2019,3.9.3,4.1 and up,"5,000,000+"
ps_id-14179,Lifestyle,4.64,94272,6.4M,Free,Teen,Apr 01 2020,1.4.8,4.0.3 and up,"5,000,000+"
ps_id-8921,Lifestyle,3.4,552,22M,Free,Everyone,Sep 06 2019,3.0.4,4.4 and up,"10,000+"
ps_id-15439,News And Magazines,3.9,877635,13M,Free,Teen,Sep 05 2019,5.2.0,4.4 and up,"1,000,000,000+"
ps_id-18025,Family,3.3,162,9.0M,Free,Teen,Nov 26 2018,1.2,4.1 and up,"10,000+"
ps_id-17367,Personalization,4.45,627492,29M,Free,Teen,May 02 2020,4.8.2.4005,4.1 and up,"10,000,000+"
ps_id-23669,News And Magazines,4.49,32242,11M,Free,Everyone,Apr 25 2020,4.5.3,4.1 and up,"1,000,000+"
ps_id-162,Dating,3.94,27429,16M,Free,Mature 17+,Apr 28 2020,4.4.7,4.0.3 and up,"1,000,000+"
ps_id-25741,Music And Audio,4.39,739021,15M,Free,Everyone,Nov 17 2018,20171010,Varies with device,"50,000,000+"
ps_id-28091,Game Simulation,3.7,110,4.1M,Free,Everyone,Apr 27 2019,1.02,4.0 and up,"10,000+"
ps_id-13034,Entertainment,4.76,2980,4.9M,Free,Everyone,Apr 05 2020,1.3.1,4.0 and up,"100,000+"
ps_id-22276,Business,4.2,46505,19M,Free,Everyone,Sep 06 2019,3.4.49,4.1 and up,"1,000,000+"
ps_id-25345,Entertainment,4.62,45,3.0M,Free,Everyone,Dec 23 2017,1.1,4.0.3 and up,"50,000+"
ps_id-3997,Lifestyle,4.72,85418,5.8M,Free,Everyone,Jul 15 2018,2.8,4.0 and up,"1,000,000+"
ps_id-32106,Game Simulation,4.68,30970,45M,Free,Everyone,Jan 03 2020,1.23.2,4.1 and up,"1,000,000+"
ps_id-23999,Game Action,4.3,45473,81M,Free,Teen,Apr 03 2020,1.2.1,4.0 and up,"5,000,000+"
ps_id-2391,Lifestyle,4.74,23986,12M,Free,Everyone,Oct 18 2019,1.7.0,4.0.3 and up,"500,000+"
ps_id-12925,Game Puzzle,4.56,1155,16M,148.4142,Everyone,Apr 26 2019,3.1,2.3 and up,"10,000+"
ps_id-25295,Business,4.04,3361,7.7M,Free,Teen,May 06 2020,0.0.38,4.4 and up,"500,000+"
ps_id-4783,Sports,3.46,13,4.0M,Free,Everyone,Mar 01 2018,1.1.1,2.3.3 and up,"5,000+"
ps_id-10740,Game Puzzle,4.2,2735,3.4M,Free,Everyone,Aug 07 2019,1.11,4.0 and up,"1,000,000+"
ps_id-33401,Game Strategy,4.39,76142,15M,Free,Everyone 10+,Jul 17 2019,1.27,4.0.3 and up,"1,000,000+"
ps_id-32424,Family,4.4,201631,96M,Free,Everyone,Jul 06 2019,4.4.4,4.1 and up,"5,000,000+"
ps_id-31021,Education,4.88,20236,Varies with device,Free,Everyone,May 03 2020,Varies with device,Varies with device,"1,000,000+"
ps_id-21870,Auto And Vehicles,4.18,412,17M,Free,Everyone,Apr 24 2020,2.16.11.22,5.0 and up,"100,000+"
ps_id-24078,Game Puzzle,4.69,118026,Varies with device,Free,Teen,Apr 25 2020,Varies with device,Varies with device,"1,000,000+"
ps_id-14260,Dating,4.7,158,4.5M,Free,Mature 17+,Aug 09 2019,8.2,4.0.3 and up,"10,000+"
ps_id-21252,Business,3.98,964,66M,Free,Everyone,Apr 23 2020,2.5.0,5.0 and up,"50,000+"
ps_id-23116,Productivity,4.72,20556,4.0M,Free,Everyone,Feb 28 2020,1.5.2,4.1 and up,"500,000+"
ps_id-6875,Game Arcade,3.92,492,Varies with device,297.5742,Everyone,Apr 07 2019,Varies with device,Varies with device,"10,000+"
ps_id-33527,Weather,4.4,841162,18M,Free,Everyone,May 06 2020,2.10.01,4.4 and up,"50,000,000+"
ps_id-22920,Education,4.39,4779,6.8M,Free,Everyone,Aug 27 2016,0.5.8,2.3 and up,"500,000+"
ps_id-11573,Finance,4.67,6,5.1M,Free,Everyone,Apr 29 2020,1.0.4,4.0.3 and up,"1,000+"
ps_id-35362,Weather,4.08,22303,12M,Free,Everyone,Apr 13 2020,1.3.a.4.15,5.0 and up,"10,000,000+"
ps_id-32560,Game Action,4.38,7574,54M,Free,Everyone 10+,Mar 24 2020,2.0.3,4.1 and up,"1,000,000+"
ps_id-4091,Game Puzzle,4.5,104964,36M,Free,Everyone,May 19 2015,1.85,3.0 and up,"1,000,000+"
ps_id-7558,Finance,1.0,3,8.4M,Free,Everyone,Mar 28 2017,4.4.1255,4.0 and up,500+
ps_id-9223,Lifestyle,4.01,5249,4.8M,Free,Teen,Apr 14 2020,1.41,4.0 and up,"100,000+"
ps_id-4662,Books And Reference,4.46,304,8.0M,Free,Everyone,Dec 11 2019,1.2,4.1 and up,"100,000+"
ps_id-9700,Health And Fitness,4.84,6131,27M,Free,Everyone,Dec 15 2019,1.7,4.3 and up,"100,000+"
ps_id-22950,Dating,3.8,5168,25M,Free,Mature 17+,Aug 28 2019,3.8.75a,4.0.3 and up,"100,000+"
ps_id-21966,Productivity,4.4,480638,Varies with device,Free,Everyone,Aug 26 2019,16.0.10325.20024,4.4 and up,"100,000,000+"
ps_id-12243,Books And Reference,4.41,8457,6.8M,Free,Everyone,Apr 28 2020,1.1,4.0.3 and up,"1,000,000+"
ps_id-35135,Tools,4.76,335,3.4M,Free,Everyone,Mar 25 2020,3.1.6,4.1 and up,"10,000+"
ps_id-25027,News And Magazines,3.96,110,70M,Free,Everyone 10+,Apr 04 2020,5.16.1,5.0 and up,"5,000+"
ps_id-19252,Finance,3.8,42644,19M,Free,Everyone,Aug 02 2019,8.18,4.2 and up,"5,000,000+"
ps_id-7689,Family,3.8,28,4.1M,Free,Teen,Nov 27 2018,7.2,2.3 and up,"1,000+"
ps_id-16167,Video Players,4.2,61,6.1M,Free,Everyone,Sep 03 2019,1.0.3,4.0.3 and up,"10,000+"
ps_id-13297,Books And Reference,4.1,295,6.9M,Free,Everyone,Jul 25 2018,2.0.3,4.0.3 and up,"50,000+"
ps_id-34773,Auto And Vehicles,4.09,68,3.1M,Free,Everyone,Jan 14 2020,3.1.5,5.0 and up,"5,000+"
ps_id-8894,Productivity,4.7,19302,7.2M,Free,Everyone,Aug 02 2019,3.5.12,4.0.3 and up,"5,000,000+"
ps_id-18628,Lifestyle,4.71,35064,78M,Free,Everyone,Apr 23 2020,2.10.0.834,4.1 and up,"1,000,000+"
ps_id-28934,Game Adventure,4.2,31966,49M,Free,Everyone 10+,Mar 06 2020,1.5,4.1 and up,"5,000,000+"
ps_id-26064,Health And Fitness,4.58,152,11M,Free,Everyone 10+,Mar 19 2020,1.04,4.0.3 and up,"50,000+"
ps_id-13877,Lifestyle,4.19,7821,27M,Free,Everyone,May 01 2020,1.6,4.1 and up,"1,000,000+"
ps_id-31318,Lifestyle,4.7,20304,24M,Free,Everyone,Sep 04 2019,4.35,4.0.3 and up,"500,000+"
ps_id-10086,Education,4.28,85,26M,Free,Everyone,Oct 30 2019,1,5.0 and up,"10,000+"
ps_id-30498,Education,4.58,16191,Varies with device,Free,Everyone,Sep 23 2019,Varies with device,Varies with device,"1,000,000+"
ps_id-25822,Education,4.67,12,83M,Free,Everyone,Nov 27 2019,1.3.4.171,4.4 and up,"1,000+"
ps_id-3310,Entertainment,5.0,3,1.5M,Free,Everyone,Nov 13 2019,1,4.0.3 and up,"1,000+"
ps_id-2600,Lifestyle,4.36,76,16M,Free,Everyone,Apr 30 2020,1,4.2 and up,"50,000+"
ps_id-20041,Game Simulation,4.39,59626,46M,Free,Everyone,Mar 21 2020,2.2.5,4.1 and up,"5,000,000+"
ps_id-27617,Comics,4.13,82,45M,Free,Teen,Mar 19 2020,Varies with device,4.0 and up,"100,000+"
ps_id-33246,Family,3.3,40,3.6M,Free,Everyone,Jun 19 2018,1.0,4.0.3 and up,"1,000+"
ps_id-22270,Libraries And Demo,3.05,1101,3.3M,Free,Everyone,Oct 10 2019,108,4.0.3 and up,"100,000+"
ps_id-10510,Entertainment,4.34,97743,Varies with device,Free,Everyone,Apr 28 2020,Varies with device,4.4 and up,"5,000,000+"
ps_id-24486,Family,4.4,6367,96M,Free,Everyone,Aug 18 2018,1.4,2.3 and up,"1,000,000+"
ps_id-30924,Family,4.4,228130,70M,Free,Everyone 10+,Aug 23 2019,3.1.4,4.1 and up,"5,000,000+"
ps_id-34000,Education,4.3,22384,17M,Free,Everyone,Sep 04 2019,4.7.0,5.0 and up,"1,000,000+"
