Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-10-14,1.25,1.25,1.25,1.25,1.25,101.0,1.0,126.0,101.0,100.0,0.0,0.0
2015-10-13,1.27,1.27,1.27,1.27,1.27,1000.0,1.0,1270.0,1000.0,100.0,0.0,0.0
2015-10-12,1.26,1.27,1.26,1.27,1.26,6082.0,42.0,7664.0,6082.0,100.0,0.01,0.01
2015-10-09,1.27,1.27,1.27,1.27,1.27,316.0,60.0,401.0,316.0,100.0,0.0,0.0
2015-10-08,1.25,1.25,1.25,1.25,1.25,10000.0,2.0,12500.0,10000.0,100.0,0.0,0.0
2015-10-07,1.27,1.27,1.27,1.27,1.27,1100.0,2.0,1397.0,1100.0,100.0,0.0,0.0
2015-10-06,1.26,1.26,1.26,1.26,1.26,6000.0,1.0,7560.0,6000.0,100.0,0.0,0.0
2015-10-05,1.27,1.27,1.26,1.26,1.26,177.0,2.0,223.0,177.0,100.0,0.01,-0.01
2015-10-01,1.27,1.27,1.26,1.27,1.26,10068.0,40.0,12686.0,10068.0,100.0,0.01,0.0
2015-09-30,1.27,1.27,1.27,1.27,1.27,254.0,28.0,322.0,254.0,100.0,0.0,0.0
2015-09-29,1.27,1.27,1.26,1.27,1.26,7352.0,119.0,9277.0,7352.0,100.0,0.01,0.0
2015-09-28,1.27,1.27,1.27,1.27,1.27,698.0,238.0,886.0,698.0,100.0,0.0,0.0
2015-09-24,1.24,1.3,1.24,1.3,1.24,21510.0,7.0,26673.0,21510.0,100.0,0.06,0.06
2015-09-23,1.25,1.3,1.25,1.3,1.29,1147.0,82.0,1483.0,1147.0,100.0,0.05,0.05
2015-09-22,1.24,1.24,1.24,1.24,1.24,42017.0,11.0,52101.0,42017.0,100.0,0.0,0.0
2015-09-21,1.25,1.25,1.19,1.19,1.19,650.0,170.0,774.0,650.0,100.0,0.06,-0.06
2015-09-18,1.27,1.27,1.21,1.25,1.23,61109.0,28.0,75348.0,61109.0,100.0,0.06,-0.02
2015-09-15,1.26,1.27,1.26,1.27,1.26,34622.0,145.0,43626.0,34622.0,100.0,0.01,0.01
2015-09-14,1.26,1.26,1.26,1.26,1.26,552.0,114.0,695.0,552.0,100.0,0.0,0.0
2015-09-11,1.25,1.25,1.24,1.24,1.24,30400.0,60.0,37700.0,30400.0,100.0,0.01,-0.01
2015-09-10,1.27,1.27,1.26,1.26,1.26,173.0,38.0,218.0,173.0,100.0,0.01,-0.01
2015-09-09,1.21,1.28,1.21,1.28,1.26847099082,51432.0,97.0,65240.0,51432.0,100.0,0.07,0.07
2015-09-07,1.27,1.27,1.27,1.27,1.27,40500.0,18.0,51435.0,40500.0,100.0,0.0,0.0
2015-09-03,1.29,1.29,1.29,1.29,1.29,32000.0,12.0,41280.0,32000.0,100.0,0.0,0.0
2015-09-02,1.3,1.3,1.3,1.3,1.3,2500.0,1.0,3250.0,2500.0,100.0,0.0,0.0
2015-09-01,1.2,1.26,1.2,1.26,1.25877419355,31000.0,13.0,39022.0,31000.0,100.0,0.06,0.06
2015-08-28,1.2,1.27,1.2,1.2,1.19996978167,26474.0,5.0,31768.0,26474.0,100.0,0.07,0.0
2015-08-24,1.26,1.26,1.26,1.26,1.26,68200.0,23.0,85932.0,68200.0,100.0,0.0,0.0
2015-08-21,1.27,1.27,1.27,1.27,1.26962252846,1669.0,77.0,2119.0,1669.0,100.0,0.0,0.0
2015-08-20,1.33,1.33,1.32,1.33,1.3211064208,45010.0,6.0,59463.0,45010.0,100.0,0.01,0.0
2015-08-19,1.33,1.33,1.33,1.33,1.32997105517,22802.0,129.0,30326.0,22802.0,100.0,0.0,0.0
2015-08-18,1.21,1.27,1.21,1.27,1.25936908517,47550.0,57.0,59883.0,47550.0,100.0,0.06,0.06
2015-08-17,1.27,1.27,1.25,1.27,1.26992455121,46124.0,104.0,58574.0,46124.0,100.0,0.02,0.0
2015-08-14,1.28,1.28,1.21,1.21,1.24707749273,56715.0,72.0,70728.0,56715.0,100.0,0.07,-0.07
2015-08-13,1.28,1.28,1.27,1.27,1.27310344828,1450.0,2.0,1846.0,1450.0,100.0,0.01,-0.01
2015-08-12,1.27,1.28,1.26,1.28,1.26562675555,53402.0,32.0,67587.0,53402.0,100.0,0.02,0.01
2015-08-11,1.24,1.29,1.24,1.28,1.27277992278,5180.0,98.0,6593.0,5180.0,100.0,0.05,0.04
2015-08-10,1.24,1.24,1.21,1.23,1.21751073819,40044.0,33.0,48754.0,40044.0,100.0,0.03,-0.01
2015-08-07,1.14,1.23,1.14,1.19,1.16077953715,821.0,102.0,953.0,821.0,100.0,0.09,0.05
2015-08-06,1.22,1.23,1.18,1.19,1.21980015908,40232.0,33.0,49075.0,40232.0,100.0,0.05,-0.03
2015-08-05,1.2,1.3,1.2,1.24,1.2077294686,1242.0,66.0,1500.0,1242.0,100.0,0.1,0.04
2015-08-04,1.33,1.33,1.22,1.26,1.29650890712,32053.0,143.0,41557.0,32053.0,100.0,0.11,-0.07
2015-08-03,1.29,1.3,1.28,1.28,1.28868660598,769.0,139.0,991.0,769.0,100.0,0.02,-0.01
2015-07-31,1.36,1.36,1.34,1.34,1.35935897436,31200.0,12.0,42412.0,31200.0,100.0,0.02,-0.02
2015-07-30,1.3,1.3,1.3,1.3,1.3,200.0,1.0,260.0,200.0,100.0,0.0,0.0
2015-07-29,1.2,1.25,1.14,1.25,1.23967345346,30746.0,38.0,38115.0,30746.0,100.0,0.11,0.05
2015-07-28,1.13,1.2,1.1,1.2,1.1904109589,730.0,69.0,869.0,730.0,100.0,0.1,0.07
2015-07-27,1.21,1.21,1.15,1.15,1.14981949458,1662.0,149.0,1911.0,1662.0,100.0,0.06,-0.06
2015-07-24,1.12,1.21,1.12,1.21,1.12079207921,1010.0,2.0,1132.0,1010.0,100.0,0.09,0.09
2015-07-23,1.07,1.17,1.07,1.17,1.08201058201,756.0,79.0,818.0,756.0,100.0,0.1,0.1
2015-07-22,1.07,1.12,1.07,1.12,1.07288051562,2017.0,182.0,2164.0,2017.0,100.0,0.05,0.05
2015-07-21,1.02,1.12,1.02,1.12,1.03404703405,2849.0,153.0,2946.0,2849.0,100.0,0.1,0.1
2015-07-20,1.17,1.17,1.07,1.07,1.1098339719,3915.0,149.0,4345.0,3915.0,100.0,0.1,-0.1
2015-07-16,1.12,1.12,1.12,1.12,1.12,2000.0,2.0,2240.0,2000.0,100.0,0.0,0.0
2015-07-15,1.17,1.17,1.17,1.17,1.16990291262,5356.0,4.0,6266.0,5356.0,100.0,0.0,0.0
2015-07-14,1.17,1.17,1.17,1.17,1.16878980892,314.0,2.0,367.0,314.0,100.0,0.0,0.0
2015-07-13,1.23,1.23,1.23,1.23,1.23,200.0,1.0,246.0,200.0,100.0,0.0,0.0
2015-07-10,1.29,1.29,1.29,1.29,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0
2015-07-07,1.29,1.29,1.29,1.29,1.2875,160.0,31.0,206.0,160.0,100.0,0.0,0.0
2015-07-06,1.29,1.29,1.28,1.29,1.28191489362,188.0,90.0,241.0,188.0,100.0,0.01,0.0
2015-07-03,1.25,1.25,1.25,1.25,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0
2015-07-02,1.23,1.23,1.23,1.23,1.22950819672,610.0,8.0,750.0,610.0,100.0,0.0,0.0
2015-07-01,1.27,1.29,1.27,1.29,1.28,200.0,2.0,256.0,200.0,100.0,0.02,0.02
2015-06-30,1.32,1.33,1.28,1.33,1.31388888889,12600.0,8.0,16555.0,12600.0,100.0,0.05,0.01
2015-06-29,1.28,1.34,1.28,1.34,1.28048222188,13106.0,3.0,16782.0,13106.0,100.0,0.06,0.06
2015-06-26,1.34,1.34,1.34,1.34,1.34,250.0,26.0,335.0,250.0,100.0,0.0,0.0
2015-06-25,1.31,1.37,1.31,1.31,1.31016949153,1180.0,79.0,1546.0,1180.0,100.0,0.06,0.0
2015-06-24,1.27,1.37,1.27,1.37,1.27333333333,1500.0,234.0,1910.0,1500.0,100.0,0.1,0.1
2015-06-23,1.33,1.33,1.33,1.33,1.33,3200.0,179.0,4256.0,3200.0,100.0,0.0,0.0
2015-06-22,1.3,1.4,1.3,1.4,1.325,400.0,198.0,530.0,400.0,100.0,0.1,0.1
2015-06-19,1.4,1.4,1.29,1.36,1.34483412322,42200.0,108.0,56752.0,42200.0,100.0,0.11,-0.04
2015-06-18,1.26,1.35,1.26,1.35,1.2800473653,1689.0,214.0,2162.0,1689.0,100.0,0.09,0.09
2015-06-17,1.22,1.32,1.22,1.32,1.31413476809,30853.0,218.0,40545.0,30853.0,100.0,0.1,0.1
2015-06-16,1.21,1.3,1.21,1.28,1.25727272727,1100.0,130.0,1383.0,1100.0,100.0,0.09,0.07
2015-06-15,1.28,1.28,1.16,1.26,1.25714945315,34653.0,184.0,43564.0,34653.0,100.0,0.12,-0.02
2015-06-12,1.26,1.29,1.19,1.22,1.26802507837,638.0,136.0,809.0,638.0,100.0,0.1,-0.04
2015-06-11,1.26,1.26,1.16,1.25,1.24990469413,39347.0,107.0,49180.0,39347.0,100.0,0.1,-0.01
2015-06-10,1.2,1.21,1.12,1.21,1.20454545455,484.0,208.0,583.0,484.0,100.0,0.09,0.01
2015-06-09,1.28,1.29,1.17,1.17,1.24880074692,31061.0,236.0,38789.0,31061.0,100.0,0.12,-0.11
2015-06-08,1.23,1.23,1.13,1.23,1.1396897007,18176.0,176.0,20715.0,18176.0,100.0,0.1,0.0
2015-06-05,1.2,1.21,1.18,1.18,1.20694155409,28351.0,51.0,34218.0,28351.0,100.0,0.03,-0.02
2015-06-04,1.12,1.16,1.11,1.16,1.11701003698,3786.0,123.0,4229.0,3786.0,100.0,0.05,0.04
2015-06-03,1.11,1.11,1.1,1.11,1.10989280245,32650.0,125.0,36238.0,32650.0,100.0,0.01,0.0
2015-06-02,1.06,1.06,0.97,1.06,1.02052631579,1900.0,5.0,1939.0,1900.0,100.0,0.09,0.0
2015-06-01,1.0,1.04,0.99,1.02,1.01091303851,17502.0,10.0,17693.0,17502.0,100.0,0.05,0.02
2015-05-29,1.06,1.06,1.04,1.04,1.05606758833,1302.0,5.0,1375.0,1302.0,100.0,0.02,-0.02
2015-05-28,1.09,1.09,1.09,1.09,1.09,200.0,1.0,218.0,200.0,100.0,0.0,0.0
2015-05-27,1.14,1.26,1.14,1.14,1.14070175439,17100.0,12.0,19506.0,17100.0,100.0,0.12,0.0
2015-05-26,1.2,1.2,1.2,1.2,1.2,14000.0,7.0,16800.0,14000.0,100.0,0.0,0.0
2015-05-25,1.26,1.26,1.26,1.26,1.26,1000.0,2.0,1260.0,1000.0,100.0,0.0,0.0
2015-05-22,1.32,1.32,1.32,1.32,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0
2015-05-20,1.26,1.26,1.26,1.26,1.26,500.0,1.0,630.0,500.0,100.0,0.0,0.0
2015-05-11,1.32,1.32,1.32,1.32,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0
2015-05-08,1.27,1.33,1.21,1.33,1.29083958241,6801.0,24.0,8779.0,6801.0,100.0,0.12,0.06
2015-05-07,1.27,1.27,1.27,1.27,1.27,500.0,2.0,635.0,500.0,100.0,0.0,0.0
2015-05-06,1.21,1.33,1.21,1.33,1.21171499344,6863.0,20.0,8316.0,6863.0,100.0,0.12,0.12
2015-05-05,1.32,1.38,1.26,1.27,1.26607843137,5100.0,34.0,6457.0,5100.0,100.0,0.12,-0.05
2015-05-04,1.32,1.32,1.2,1.32,1.30199430199,702.0,9.0,914.0,702.0,100.0,0.12,0.0
2015-04-30,1.38,1.38,1.26,1.26,1.26070085368,16751.0,31.0,21118.0,16751.0,100.0,0.12,-0.12
2015-04-29,1.32,1.32,1.32,1.32,1.0,1.0,2.0,1.0,1.0,100.0,0.0,0.0
2015-04-28,1.3,1.39,1.3,1.38,1.31427272727,11000.0,14.0,14457.0,11000.0,100.0,0.09,0.08
2015-04-27,1.33,1.33,1.32,1.33,1.32005068995,7102.0,8.0,9375.0,7102.0,100.0,0.01,0.0
2015-04-24,1.27,1.27,1.26,1.27,1.26712328767,3650.0,23.0,4625.0,3650.0,100.0,0.01,0.0
2015-04-23,1.21,1.21,1.11,1.21,1.20894638096,10127.0,27.0,12243.0,10127.0,100.0,0.1,0.0
2015-04-22,1.15,1.16,1.11,1.16,1.14476853091,3737.0,19.0,4278.0,3737.0,100.0,0.05,0.01
2015-04-21,1.06,1.11,1.01,1.11,1.06472972973,37000.0,44.0,39395.0,37000.0,100.0,0.1,0.05
2015-04-20,1.06,1.06,1.06,1.06,1.06,1500.0,4.0,1590.0,1500.0,100.0,0.0,0.0
2015-04-17,1.11,1.11,1.11,1.11,1.10996441281,2810.0,9.0,3119.0,2810.0,100.0,0.0,0.0
2015-04-16,1.07,1.17,1.07,1.16,1.14714339971,18431.0,40.0,21143.0,18431.0,100.0,0.1,0.09
2015-04-15,1.12,1.12,1.07,1.12,1.11615384615,1300.0,11.0,1451.0,1300.0,100.0,0.05,0.0
2015-04-13,1.07,1.17,1.07,1.07,1.08809716599,12350.0,28.0,13438.0,12350.0,100.0,0.1,0.0
2015-04-10,1.13,1.13,1.03,1.12,1.07640028123,12801.0,29.0,13779.0,12801.0,100.0,0.1,-0.01
2015-04-09,1.1,1.1,1.0,1.08,1.05323396327,15028.0,34.0,15828.0,15028.0,100.0,0.1,-0.02
2015-04-08,1.05,1.05,1.0,1.05,1.04300218993,20092.0,25.0,20956.0,20092.0,100.0,0.05,0.0
2015-04-07,1.0,1.0,1.0,1.0,1.0,50000.0,40.0,50000.0,50000.0,100.0,0.0,0.0
2015-04-06,1.05,1.05,1.05,1.05,1.05,14200.0,24.0,14910.0,14200.0,100.0,0.0,0.0
2015-04-01,1.1,1.2,1.1,1.1,1.1530499586,7246.0,15.0,8355.0,7246.0,100.0,0.1,0.0
2015-03-31,1.27,1.27,1.15,1.15,1.17181818182,1100.0,21.0,1289.0,1100.0,100.0,0.12,-0.12
2015-03-30,1.21,1.21,1.21,1.21,1.21,100.0,2.0,121.0,100.0,100.0,0.0,0.0
2015-03-27,1.27,1.39,1.27,1.27,1.27005870841,5110.0,8.0,6490.0,5110.0,100.0,0.12,0.0
2015-03-26,1.47,1.47,1.33,1.33,1.42917349567,4271.0,486.0,6104.0,4271.0,100.0,0.14,-0.14
2015-03-24,1.29,1.4,1.28,1.4,1.29107413011,3305.0,85.0,4267.0,3305.0,100.0,0.12,0.11
2015-03-23,1.23,1.34,1.22,1.34,1.22703533026,19530.0,479.0,23964.0,19530.0,100.0,0.12,0.11
2015-03-20,1.4,1.4,1.28,1.28,1.37418655098,922.0,269.0,1267.0,922.0,100.0,0.12,-0.12
2015-03-19,1.34,1.34,1.34,1.34,1.3397260274,730.0,456.0,978.0,730.0,100.0,0.0,0.0
2015-03-18,1.41,1.41,1.41,1.41,1.40952380952,1050.0,5.0,1480.0,1050.0,100.0,0.0,0.0
2015-03-17,1.48,1.62,1.48,1.48,1.48421052632,2565.0,281.0,3807.0,2565.0,100.0,0.14,0.0
2015-03-16,1.55,1.55,1.55,1.55,1.54,50.0,2.0,77.0,50.0,100.0,0.0,0.0
2015-03-13,1.63,1.63,1.63,1.63,1.6299951148,10235.0,280.0,16683.0,10235.0,100.0,0.0,0.0
2015-03-12,1.71,1.71,1.71,1.71,1.71,300.0,137.0,513.0,300.0,100.0,0.0,0.0
2015-03-11,1.8,1.8,1.8,1.8,1.79997260837,14603.0,96.0,26285.0,14603.0,100.0,0.0,0.0
2015-03-10,1.8,1.89,1.8,1.89,1.80373831776,1070.0,55.0,1930.0,1070.0,100.0,0.09,0.09
2015-03-03,1.89,1.89,1.89,1.89,1.89,100.0,2.0,189.0,100.0,100.0,0.0,0.0
2015-03-02,1.87,1.87,1.87,1.87,1.85,40.0,8.0,74.0,40.0,100.0,0.0,0.0
2015-02-28,1.8,1.8,1.8,1.8,1.8,525.0,8.0,945.0,525.0,100.0,0.0,0.0
2015-02-27,1.73,1.73,1.58,1.72,1.61325301205,830.0,37.0,1339.0,830.0,100.0,0.15,-0.01
2015-02-26,1.52,1.66,1.52,1.66,1.52014118958,96891.0,9.0,147288.0,96891.0,100.0,0.14,0.14
2015-02-23,1.59,1.59,1.59,1.59,1.59,2500.0,4.0,3975.0,2500.0,100.0,0.0,0.0
2015-02-20,1.67,1.67,1.67,1.67,1.6,10.0,2.0,16.0,10.0,100.0,0.0,0.0
2015-02-19,1.6,1.6,1.6,1.6,1.6,50.0,2.0,80.0,50.0,100.0,0.0,0.0
2015-02-16,1.5,1.54,1.5,1.54,1.53662675592,10607.0,14.0,16299.0,10607.0,100.0,0.04,0.04
2015-02-13,1.5,1.5,1.48,1.48,1.48064,3125.0,8.0,4627.0,3125.0,100.0,0.02,-0.02
2015-02-12,1.49,1.49,1.49,1.49,1.25,4.0,4.0,5.0,4.0,100.0,0.0,0.0
2015-02-11,1.46,1.46,1.46,1.46,1.46,1000.0,2.0,1460.0,1000.0,100.0,0.0,0.0
2015-02-10,1.45,1.55,1.45,1.45,1.454,2500.0,12.0,3635.0,2500.0,100.0,0.1,0.0
2015-02-09,1.5,1.56,1.5,1.52,1.50881534179,3233.0,12.0,4878.0,3233.0,100.0,0.06,0.02
2015-02-06,1.54,1.54,1.49,1.49,1.50774193548,3100.0,30.0,4674.0,3100.0,100.0,0.05,-0.05
2015-02-05,1.47,1.47,1.47,1.47,1.47,100.0,2.0,147.0,100.0,100.0,0.0,0.0
2015-02-04,1.39,1.42,1.39,1.4,1.40251655629,15100.0,14.0,21178.0,15100.0,100.0,0.03,0.01
2015-02-03,1.36,1.36,1.36,1.36,1.36,2000.0,6.0,2720.0,2000.0,100.0,0.0,0.0
2015-02-02,1.23,1.34,1.23,1.32,1.29578571429,14000.0,25.0,18141.0,14000.0,100.0,0.11,0.09
2015-01-28,1.29,1.29,1.29,1.29,1.29,100.0,2.0,129.0,100.0,100.0,0.0,0.0
2015-01-27,1.24,1.24,1.14,1.23,1.17032967033,3640.0,11.0,4260.0,3640.0,100.0,0.1,-0.01
2015-01-23,1.21,1.21,1.13,1.19,1.14315591788,23429.0,12.0,26783.0,23429.0,100.0,0.08,-0.02
2015-01-22,1.17,1.2,1.15,1.18,1.17565853659,20500.0,21.0,24101.0,20500.0,100.0,0.05,0.01
2015-01-21,1.09,1.19,1.09,1.16,1.12864963504,10960.0,28.0,12370.0,10960.0,100.0,0.1,0.07
2015-01-20,1.06,1.16,1.06,1.14,1.12360879243,100632.0,73.0,113071.0,100632.0,100.0,0.1,0.08
2015-01-19,1.21,1.21,1.11,1.11,1.18168604651,688.0,14.0,813.0,688.0,100.0,0.1,-0.1
2015-01-16,1.14,1.26,1.14,1.16,1.14911696101,6002.0,22.0,6897.0,6002.0,100.0,0.12,0.02
2015-01-15,1.1,1.2,1.1,1.2,1.10420560748,10700.0,22.0,11815.0,10700.0,100.0,0.1,0.1
2015-01-14,1.2,1.2,1.15,1.15,1.15472027972,1144.0,8.0,1321.0,1144.0,100.0,0.05,-0.05
2015-01-13,1.13,1.22,1.13,1.21,1.15295169946,17888.0,51.0,20624.0,17888.0,100.0,0.09,0.08
2015-01-12,1.18,1.29,1.18,1.18,1.17997340295,20303.0,21.0,23957.0,20303.0,100.0,0.11,0.0
2015-01-09,1.15,1.27,1.15,1.24,1.1719542228,6903.0,27.0,8090.0,6903.0,100.0,0.12,0.09
2015-01-08,1.22,1.31,1.21,1.21,1.21216447127,92466.0,99.0,112084.0,92466.0,100.0,0.1,-0.01
2015-01-07,1.27,1.27,1.27,1.27,1.26993464052,7650.0,24.0,9715.0,7650.0,100.0,0.0,0.0
2015-01-06,1.34,1.34,1.33,1.33,1.33017667845,28300.0,18.0,37644.0,28300.0,100.0,0.01,-0.01
2015-01-05,1.38,1.52,1.38,1.39,1.43663366337,5050.0,15.0,7255.0,5050.0,100.0,0.14,0.01
2015-01-02,1.45,1.59,1.45,1.45,1.56821138211,12300.0,13.0,19289.0,12300.0,100.0,0.14,0.0
2015-01-01,1.59,1.59,1.52,1.52,1.57,700.0,4.0,1099.0,700.0,100.0,0.07,-0.07
2014-12-31,1.53,1.64,1.53,1.6,1.53078947368,11400.0,29.0,17451.0,11400.0,100.0,0.11,0.07
2014-12-30,1.65,1.65,1.61,1.61,1.61432926829,656.0,46.0,1059.0,656.0,100.0,0.04,-0.04
2014-12-29,1.59,1.59,1.55,1.58,1.57981948623,21605.0,50.0,34132.0,21605.0,100.0,0.04,-0.01
2014-12-26,1.52,1.52,1.52,1.52,1.51999274091,16531.0,63.0,25127.0,16531.0,100.0,0.0,0.0
2014-12-24,1.6,1.6,1.6,1.6,1.6,20000.0,2.0,32000.0,20000.0,100.0,0.0,0.0
2014-12-23,1.77,1.77,1.61,1.61,1.6876516843,20602.0,17.0,34769.0,20602.0,100.0,0.16,-0.16
2014-12-22,1.76,1.76,1.69,1.69,1.69628286491,2206.0,65.0,3742.0,2206.0,100.0,0.07,-0.07
2014-12-19,1.82,1.82,1.69,1.69,1.69071604938,20250.0,14.0,34237.0,20250.0,100.0,0.13,-0.13
2014-12-18,1.62,1.74,1.62,1.74,1.62059701493,20100.0,6.0,32574.0,20100.0,100.0,0.12,0.12
2014-12-17,1.69,1.7,1.69,1.7,1.6900049975,20010.0,10.0,33817.0,20010.0,100.0,0.01,0.01
2014-12-16,1.69,1.73,1.64,1.71,1.66446345257,2572.0,432.0,4281.0,2572.0,100.0,0.09,0.02
2014-12-15,1.63,1.65,1.63,1.65,1.64857142857,4200.0,13.0,6924.0,4200.0,100.0,0.02,0.02
2014-12-12,1.68,1.68,1.61,1.64,1.64912280702,1026.0,341.0,1692.0,1026.0,100.0,0.07,-0.04
2014-12-11,1.76,1.77,1.61,1.61,1.70688942677,33878.0,125.0,57826.0,33878.0,100.0,0.16,-0.15
2014-12-10,1.54,1.69,1.54,1.69,1.5403695267,3951.0,41.0,6086.0,3951.0,100.0,0.15,0.15
2014-12-09,1.62,1.63,1.49,1.62,1.5558496853,54020.0,168.0,84047.0,54020.0,100.0,0.14,0.0
2014-12-08,1.58,1.58,1.44,1.56,1.49057430951,2281.0,237.0,3400.0,2281.0,100.0,0.14,-0.02
2014-12-05,1.5,1.51,1.5,1.51,1.50991662456,31664.0,22.0,47810.0,31664.0,100.0,0.01,0.01
2014-12-04,1.44,1.44,1.44,1.44,1.44,6400.0,9.0,9216.0,6400.0,100.0,0.0,0.0
2014-12-03,1.64,1.64,1.51,1.51,1.62018592297,24096.0,20.0,39040.0,24096.0,100.0,0.13,-0.13
2014-12-02,1.65,1.74,1.58,1.58,1.62530120482,9130.0,34.0,14839.0,9130.0,100.0,0.16,-0.07
2014-12-01,1.66,1.66,1.66,1.66,1.65997171146,21210.0,22.0,35208.0,21210.0,100.0,0.0,0.0
2014-11-28,1.67,1.75,1.59,1.59,1.66161572052,22900.0,16.0,38051.0,22900.0,100.0,0.16,-0.08
2014-11-27,1.67,1.8,1.67,1.67,1.67724550898,33400.0,24.0,56020.0,33400.0,100.0,0.13,0.0
2014-11-26,1.61,1.76,1.61,1.75,1.74675906183,46900.0,28.0,81923.0,46900.0,100.0,0.15,0.14
2014-11-25,1.69,1.7,1.54,1.69,1.67773739209,22010.0,15.0,36927.0,22010.0,100.0,0.16,0.0
2014-11-24,1.62,1.62,1.62,1.62,1.62,700.0,18.0,1134.0,700.0,100.0,0.0,0.0
2014-11-21,1.54,1.7,1.54,1.7,1.68714285714,15400.0,75.0,25982.0,15400.0,100.0,0.16,0.16
2014-11-20,1.78,1.78,1.62,1.62,1.62100207401,9161.0,30.0,14850.0,9161.0,100.0,0.16,-0.16
2014-11-19,1.54,1.7,1.54,1.7,1.60799601858,24112.0,77.0,38772.0,24112.0,100.0,0.16,0.16
2014-11-18,1.72,1.72,1.58,1.62,1.60079051383,3795.0,42.0,6075.0,3795.0,100.0,0.14,-0.1
2014-11-17,1.53,1.68,1.53,1.66,1.61914893617,2350.0,25.0,3805.0,2350.0,100.0,0.15,0.13
2014-11-14,1.61,1.61,1.61,1.61,1.61,1500.0,22.0,2415.0,1500.0,100.0,0.0,0.0
2014-11-13,1.53,1.69,1.53,1.69,1.53167166417,5336.0,278.0,8173.0,5336.0,100.0,0.16,0.16
2014-11-12,1.62,1.62,1.61,1.61,1.61176470588,2720.0,12.0,4384.0,2720.0,100.0,0.01,-0.01
2014-11-11,1.54,1.69,1.54,1.69,1.54210971654,70910.0,102.0,109351.0,70910.0,100.0,0.15,0.15
2014-11-10,1.62,1.62,1.62,1.62,1.61990521327,2110.0,238.0,3418.0,2110.0,100.0,0.0,0.0
2014-11-07,1.7,1.7,1.7,1.7,1.69977426637,3101.0,8.0,5271.0,3101.0,100.0,0.0,0.0
2014-11-05,1.78,1.78,1.78,1.78,1.77990543735,4230.0,6.0,7529.0,4230.0,100.0,0.0,0.0
2014-11-03,1.87,1.87,1.87,1.87,1.87,100.0,2.0,187.0,100.0,100.0,0.0,0.0
2014-10-30,1.96,1.96,1.96,1.96,1.96,1000.0,2.0,1960.0,1000.0,100.0,0.0,0.0
2014-10-29,2.06,2.06,2.06,2.06,2.06,10600.0,7.0,21836.0,10600.0,100.0,0.0,0.0
2014-10-28,2.16,2.16,2.16,2.16,2.15988023952,5010.0,12.0,10821.0,5010.0,100.0,0.0,0.0
2014-10-23,2.08,2.08,2.06,2.06,2.07058823529,170.0,6.0,352.0,170.0,100.0,0.02,-0.02
2014-10-22,1.99,1.99,1.99,1.99,1.99,1800.0,4.0,3582.0,1800.0,100.0,0.0,0.0
2014-10-21,2.09,2.09,2.09,2.09,2.08928571429,560.0,4.0,1170.0,560.0,100.0,0.0,0.0
2014-10-17,2.2,2.2,2.2,2.2,2.2,10.0,2.0,22.0,10.0,100.0,0.0,0.0
2014-10-16,2.14,2.14,1.96,2.12,1.96083499006,5030.0,8.0,9863.0,5030.0,100.0,0.18,-0.02
2014-10-14,2.06,2.06,2.06,2.06,2.06,50.0,2.0,103.0,50.0,100.0,0.0,0.0
2014-10-13,1.89,1.98,1.8,1.97,1.93089105743,6251.0,54.0,12070.0,6251.0,100.0,0.18,0.08
2014-10-10,1.89,1.89,1.72,1.89,1.87242026266,25051.0,32.0,46906.0,25051.0,100.0,0.17,0.0
2014-10-09,1.74,1.81,1.74,1.81,1.75,28.0,9.0,49.0,28.0,100.0,0.07,0.07
2014-10-07,1.74,1.74,1.74,1.74,1.74,500.0,2.0,870.0,500.0,100.0,0.0,0.0
2014-10-01,1.66,1.66,1.66,1.66,1.65971563981,1055.0,128.0,1751.0,1055.0,100.0,0.0,0.0
2014-09-30,1.6,1.74,1.59,1.74,1.73263558516,10510.0,11.0,18210.0,10510.0,100.0,0.15,0.14
2014-09-29,1.67,1.67,1.67,1.67,1.67,8100.0,37.0,13527.0,8100.0,100.0,0.0,0.0
2014-09-26,1.72,1.81,1.72,1.75,1.76388240784,2143.0,64.0,3780.0,2143.0,100.0,0.09,0.03
2014-09-25,1.81,1.81,1.81,1.81,1.80939947781,383.0,90.0,693.0,383.0,100.0,0.0,0.0
2014-09-23,1.9,1.9,1.9,1.9,1.9,3500.0,298.0,6650.0,3500.0,100.0,0.0,0.0
2014-09-19,1.85,2.0,1.85,2.0,1.91328358209,6700.0,105.0,12819.0,6700.0,100.0,0.15,0.15
2014-09-18,1.79,1.97,1.79,1.94,1.87664986801,4167.0,354.0,7820.0,4167.0,100.0,0.18,0.15
2014-09-17,1.72,1.9,1.72,1.88,1.74798739937,5714.0,215.0,9988.0,5714.0,100.0,0.18,0.16
2014-09-16,1.81,1.81,1.81,1.81,1.80999454843,27515.0,90.0,49802.0,27515.0,100.0,0.0,0.0
